Message;Group;GroupText
125 lira;2;Normal
Baskanin aksam toplantısi fenaymis :);2;Normal
Bilal yalçnlara ne zaman gidiyoruz?;2;Normal
BiP ile mesajlarimi aninda, daha eglenceli gonderiyorum! Sen de hemen kullan! http://mobiltr.co/BiP;1;Spam
DIGITURKTEN FIRSAT! SiZE OZEL YIL SONUNA KADAR 200 UZERi ULUSAL HD YAYIN BELGESEL+SPOR+DiZi+YETiSKiN iLK AY LiG TV AYDA SADECE 10 TL.HEMEN ARAYIN 02122129070;1;Spam
"İyi ya dokuz eylül iyidir arş.gör falan kovala ;)";2;Normal
İyiyim teşekkürler oturuyoruz nazarda arkadaşla  sen nasılsın :)  geçen gördüm seni de gelemedim yanınıza ;2;Normal
Kapatamıyorun ayarlara girmem lazım :) ;2;Normal
Menüye girsem görünür mü acaba ?? ;2;Normal
"Önemli değil hocam iyi akşamlar ;) ";2;Normal
Senin nasil arastirma görevlisi olacak gibi mi;2;Normal
Tamam :) ;2;Normal
Tamam abi iyi yolculuklar. Ben hastanede yim boşa çıkarsan görüşüruz abi;2;Normal
"Tamam getircektim attım çantaya ;)";2;Normal
"Tamam hocam ;) ";2;Normal
"Tamam uyar yarn gidelim;)";2;Normal
tamamdir.;2;Normal
%100 PAMUK PENYE,PERCALE VE SATEN CARSAF VE CARSAF TAKIMLARINDA %50+%50 INDIRIM! 02 AGUSTOS SON!(SMS IPTAL:5830'A MC)MERSIS:0273065777400019 madamecoco.com;1;Spam
%100 PAMUK SATEN CARSAFLI NEVRESIM TAKIMLARI CIFT K 99.99TL,TEK K 79.99TL FIRSATIYLA MAGAZALAR VE madamecoco.com'DA!IPTAL:5830A MC YAZ/MERSIS0273065777400019;1;Spam
%100 Pamuklu Erkek Camasirlarinda %40 Indirim Kampanyamiz Bugun Baslamistir.Keyifli Alisverisler Dileriz. (SMS almamak icin RET yaz 3347'ye gonderiniz);1;Spam
%20 INDIRIMLI Yilbasi Menusu Mavi'de! 1ALT+1UST+1AKSESUAR veya 1ALT+2UST alin, %20 indirim kazanin! Mavi magazalari & mavi.com.  SMS almak istemiyorsaniz MAVI yazip 3525'e gonderin. Mersis:13327743669639998;1;Spam
%5 indirim firsatiyla LG G3 32GB telefon 1.167,55 TL. http://goo.gl/rgRBKs, LG G4 32GB telefon sadece 1.547,55 TL. http://goo.gl/i4p3vY Bugune ozel, sinirli stoklar. Kacirmayin. SMS listesinden cikmak icin GITTIGIDIYOR RET, iletisim icin GG ILETISIM yazip;1;Spam
%50+%50 INDIRIM! 11 EKIM'E KADAR YEPYENI DESENLERIYLE TUM BANYO VE MUTFAK HALILARINDA!SMS IPTAL ICIN 5830 MC YAZ / MERSIS:0273065777400019 madamecoco.com;1;Spam
%50+%50 INDIRIM! BU HAFTA TUM BANYO VE MUTFAK HALILARINDA. DESENLI 3'LU BANYO SABUNLUK SETLERI 14.9 TL. SMS IPTAL:5830 MC.MERSIS0273065777400019 madamecoco.com;1;Spam
%50+%50 INDIRIM! BU HAFTA TUM KISISEL BAKIM URUNLERI,MAKYAJ CANTALARI VE HAVLULARDA. MAGAZALARDA VE madamecoco.com 'DA!SMS IPTAL:5830 MC.MERSIS0273065777400019;1;Spam
%50+%50 INDIRIM! TUM CARSAF, NEVRESIM VE TAKIMLARINDA (BASKILI, JAKARLI, NAKISLI)! 12 TEMMUZ'A KADAR TUM MAGAZALAR VE madamecoco.com'DA! (SMS IPTAL:5830'A MC);1;Spam
%50+%50 INDIRIM! YENI SEZON DEKORATIF TEPSILERDE VE RENGARENK CICEKLERDE BU HAFTAYA OZEL INDIRIMI KACIRMAYIN! (SMS IPTAL:5830'A MC) madamecoco.com;1;Spam
%50+%50 INDIRIM!FINCAN TAKIMLARI, DEKORATIF TEPSILER VE RENGARENK CICEKLERDE!27 EYLUL SON KACIRMAYIN! SMS IPTAL:5830'A MC.MERSIS:0273065777400019 madamecoco.com;1;Spam
%50+%50 INDIRIM!YENI KOLEKSIYON SAAT, TABLO, AYNA VE CERCEVELER BU HAFTA MAGAZALAR VE madamecoco.com 'DA!SMS IPTAL:5830 MC.MERSIS0273065777400019;1;Spam
%50'ye varan büyük kis indirimi adL kis koleksiyonunda basladi! Indirimli alisverisin keyfi icin magazalarimiza davetlisiniz!SMS Red:4443235 MK:0008009314200018;1;Spam
%50'ye varan Büyük Nike indirimi Basladi | Ücretsiz Kargo, 6 Taksit http://www.korayspor.com/marka/nike?sd=2;1;Spam
%70 NET INDIRIM basladi! Yeni yil hediyelerinizi birlikte secmek icin sizi KIGILI magazalarimiza bekliyoruz. Mutlu Yillar.;1;Spam
%80 GIDIK KAZ TUYU YORGAN VE YASTIKLAR BU HAFTA, TEK K.: 199.9TL CIFT K.: 249.9TL, YASTIK: 79.9TL!IPTAL: 5830'A MC YAZ/ MERSIS:0273065777400019 madamecoco.com;1;Spam
,) düzeltme gönderdik;2;Normal
.;2;Normal
:) Aferin kuzuma;2;Normal
:) İyiymiş Can  2018'de dünyayı ifade etmek için bu emojiler yetecek :);2;Normal
:) Tamam canım benim Fatma abla Burda mı;2;Normal
:));2;Normal
:D motorum rehin kaldı da tamircide ,);2;Normal
";) düzeltme gönderdik";2;Normal
04-17 Kasım'da CarrefourSA Teknoloji Bayramını kaçırmayın! çok avantajlı fiyatlarla alışverişinizi Akbank Kredi Ekspres ihtiyaç kredisi ile yapın, dilerseniz 2015'te ödemeye başlayın! Kredili alışveriş için detaylı bilgi CarrefourSA Hipermarketlerinde;1;Spam
1 ALANA 1 HEDIYE Kampanyasi tum magazalarimiz ve Internet Magazamizda !  Hemen alisverise basla http://tr.uspoloassn.com/1-alana-1-hediye/  Keyifli alisverisler.;1;Spam
1 ay sonra cinsiyeti de belli olur;2;Normal
1 ay spora gittim;2;Normal
1 BOL MALZEMOS ALANA 1 BOL MALZEMOS + 1LT COCA-COLA BEDAVA! bit.ly/1OrtDmb DOMINO'S PIZZA'DAN SMS ALMAK ISTEMIYORSANIZ IPTAL YAZIP 5564'E GONDEREBILIRSINIZ.;1;Spam
1 Ekim tarihinde 30000 TL olarak onaylanan fakat kullanmadiginiz IHTIYAC KREDINIZ icin 31/10/2015 tarihine kadar subelerimize bekliyoruz.Bilgi: 02522117030;1;Spam
